(28, 29, 1679)
(27, 50, 918)
(45, 26, 1238)
(44, 48, 3379)
(50, 11, 7426)
(27, 26, 4020)
(27, 29, 465)
(27, 27, 179894)
(27, 28, 1177)
(44, 45, 5109)
(44, 44, 162239)
(26, 50, 1964)
(44, 47, 3550)
(44, 46, 2932)
(44, 41, 29391)
(44, 43, 5607)
(45, 11, 10200)
(44, 42, 2606)
(11, 11, 809201)
(27, 36, 361)
(50, 26, 2190)
(50, 28, 1736)
(50, 27, 1098)
(50, 29, 810)
(44, 36, 3843)
(44, 30, 12509)
(27, 30, 1278)
(27, 31, 2434)
(44, 31, 1357)
